L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG07009	Hypothetical protein		
Function unknown	VOG07010	Hypothetical protein		
Function unknown	VOG07011	Hypothetical protein		
Function unknown	VOG07012	Hypothetical protein		
Function unknown	VOG07013	Hypothetical protein		
Function unknown	VOG07014	Hypothetical protein		
Function unknown	VOG07015	Hypothetical protein		
Function unknown	VOG07016	Hypothetical protein		
Function unknown	VOG07017	Hypothetical protein		
Function unknown	VOG07018	Hypothetical protein		
Function unknown	VOG07019	Hypothetical protein		
Function unknown	VOG07020	Hypothetical protein		
Function unknown	VOG07021	Hypothetical protein		
Function unknown	VOG07022	Hypothetical protein		
Function unknown	VOG07023	Hypothetical protein		
Function unknown	VOG07024	Hypothetical protein		
Function unknown	VOG07025	Hypothetical protein		
Function unknown	VOG07026	Virion structural protein		
Function unknown	VOG07027	Hypothetical protein		
Function unknown	VOG07028	Hypothetical protein		
Function unknown	VOG07029	Hypothetical protein		
Function unknown	VOG07030	Hypothetical protein		
Function unknown	VOG07031	Hypothetical protein		
Function unknown	VOG07032	Hypothetical protein		
Function unknown	VOG07033	Hypothetical protein		
Function unknown	VOG07034	Hypothetical protein		
Function unknown	VOG07035	Membrane protein		
Function unknown	VOG07036	Hypothetical protein		
Function unknown	VOG07037	Hypothetical protein		
Function unknown	VOG07038	Hypothetical protein		
Function unknown	VOG07039	Hypothetical protein		
Function unknown	VOG07040	Hypothetical protein		
Function unknown	VOG07041	Hypothetical protein		
Function unknown	VOG07042	Hypothetical protein		
Function unknown	VOG07043	Hypothetical protein		
Function unknown	VOG07044	Hypothetical protein		
Function unknown	VOG07045	Hypothetical protein		
Function unknown	VOG07046	Hypothetical protein		
Function unknown	VOG07047	Hypothetical protein		
Function unknown	VOG07048	Hypothetical protein		
Function unknown	VOG07049	Hypothetical protein		
Function unknown	VOG07050	Hypothetical protein		
Function unknown	VOG07051	Hypothetical protein		
Function unknown	VOG07052	Hypothetical protein		
Function unknown	VOG07053	Hypothetical protein		
Function unknown	VOG07054	Hypothetical protein		
Function unknown	VOG07055	Hypothetical protein		
Function unknown	VOG07056	Hypothetical protein		
Function unknown	VOG07057	Hypothetical protein		
Function unknown	VOG07058	Hypothetical protein		
Function unknown	VOG07059	Hypothetical protein		
Function unknown	VOG07060	Hypothetical protein		
Function unknown	VOG07061	Hypothetical protein		
Function unknown	VOG07062	Hypothetical protein		
Function unknown	VOG07063	Hypothetical protein		
Function unknown	VOG07064	GDSL-like lipase		
Function unknown	VOG07065	Hypothetical protein		
Function unknown	VOG07066	Hypothetical protein		
Function unknown	VOG07067	Hypothetical protein		
Function unknown	VOG07068	Membrane protein		
Function unknown	VOG07069	Hypothetical protein		
Function unknown	VOG07070	Hypothetical protein		
Function unknown	VOG07071	Hypothetical protein		
Function unknown	VOG07072	Hypothetical protein		
Function unknown	VOG07073	Hypothetical protein		
Function unknown	VOG07074	Hypothetical protein		
Function unknown	VOG07075	Hypothetical protein		
Function unknown	VOG07076	Hypothetical protein		
Function unknown	VOG07077	Hypothetical protein		
Function unknown	VOG07078	Hypothetical protein		
Function unknown	VOG07079	Hypothetical protein		
Function unknown	VOG07080	Hypothetical protein		
Function unknown	VOG07081	Hypothetical protein		
Function unknown	VOG07082	Hypothetical protein		
Function unknown	VOG07083	Hypothetical protein		
Function unknown	VOG07084	Hypothetical protein		
Function unknown	VOG07085	Hypothetical protein		
Function unknown	VOG07086	Hypothetical protein		
Function unknown	VOG07087	Hypothetical protein		
Function unknown	VOG07088	Hypothetical protein		
Function unknown	VOG07089	Hypothetical protein		
Function unknown	VOG07090	Hypothetical protein		
Function unknown	VOG07091	Hypothetical protein		
Function unknown	VOG07092	Hypothetical protein		
Function unknown	VOG07093	Hypothetical protein		
Function unknown	VOG07094	Hypothetical protein		
Function unknown	VOG07095	Hypothetical protein		
Function unknown	VOG07096	Hypothetical protein		
Function unknown	VOG07097	Hypothetical protein		
Function unknown	VOG07098	Hypothetical protein		
Function unknown	VOG07099	Hypothetical protein		
Function unknown	VOG07100	Uncharacterized protein 43		Y043_SIFVH
Function unknown	VOG07101	Hypothetical protein		
Function unknown	VOG07102	Hypothetical protein		
Function unknown	VOG07103	Hypothetical protein		
Function unknown	VOG07104	Hypothetical protein		
Function unknown	VOG07105	Hypothetical protein		
Function unknown	VOG07106	Hypothetical protein		
Function unknown	VOG07107	Hypothetical protein		
Function unknown	VOG07108	Hypothetical protein		
Function unknown	VOG07109	Hypothetical protein		
Function unknown	VOG07110	Hypothetical protein		
Function unknown	VOG07111	Hypothetical protein		
Function unknown	VOG07112	Hypothetical protein		
Function unknown	VOG07113	Hypothetical protein		
Function unknown	VOG07114	Hypothetical protein		
Function unknown	VOG07115	Hypothetical protein		
Function unknown	VOG07116	Hypothetical protein		
Function unknown	VOG07117	Hypothetical protein		
Function unknown	VOG07118	Hypothetical protein		
Function unknown	VOG07119	Hypothetical protein		
Function unknown	VOG07120	DNA polymerase		
Function unknown	VOG07121	Hypothetical protein		
Function unknown	VOG07122	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG07123	L-alanyl-D-glutamate peptidase		ENLYS_BPT5
Function unknown	VOG07124	Hypothetical protein		
Function unknown	VOG07125	Hypothetical protein		
Function unknown	VOG07126	Uncharacterized protein 61		Y061_SIFVH
Function unknown	VOG07127	Hypothetical protein		
Function unknown	VOG07128	Hypothetical protein		
Function unknown	VOG07129	Hypothetical protein		
Function unknown	VOG07130	Hypothetical protein		
Function unknown	VOG07131	Hypothetical protein		
Function unknown	VOG07132	Tail protein		
Function unknown	VOG07133	Hypothetical protein		
Function unknown	VOG07134	Hypothetical protein		
Function unknown	VOG07135	Hypothetical protein		
Function unknown	VOG07136	DUF1514 family protein		
Function unknown	VOG07137	Hypothetical protein		
Function unknown	VOG07138	Hypothetical protein		
Function unknown	VOG07139	Hypothetical protein		
Function unknown	VOG07140	Hypothetical protein		
Function unknown	VOG07141	Hypothetical protein		
Function unknown	VOG07142	Tail fiber protein		
Function unknown	VOG07143	Hypothetical protein		
Function unknown	VOG07144	Endonuclease		
Function unknown	VOG07145	Hypothetical protein		
Function unknown	VOG07146	Hypothetical protein		
Function unknown	VOG07147	Hypothetical protein		
Function unknown	VOG07148	Hypothetical protein		
Function unknown	VOG07149	Hypothetical protein		
Function unknown	VOG07150	Hypothetical protein		
Function unknown	VOG07151	Hypothetical protein		
Function unknown	VOG07152	Hypothetical protein		
Function unknown	VOG07153	Hypothetical protein		
Function unknown	VOG07154	Hypothetical protein		
Function unknown	VOG07155	Hypothetical protein		
Function unknown	VOG07156	Hypothetical protein		
Function unknown	VOG07157	Hypothetical protein		
Function unknown	VOG07158	Hypothetical protein		
Function unknown	VOG07159	Hypothetical protein		
Function unknown	VOG07160	Hypothetical protein		
Function unknown	VOG07161	Hypothetical protein		
Function unknown	VOG07162	Hypothetical protein		
Function unknown	VOG07163	Hypothetical protein		
Function unknown	VOG07164	Hypothetical protein		
Function unknown	VOG07165	Hypothetical protein		
Function unknown	VOG07166	Hypothetical protein		
Function unknown	VOG07167	Hypothetical protein		
Function unknown	VOG07168	Alpha,alpha-trehalase		
Function unknown	VOG07169	Hypothetical protein		
Function unknown	VOG07170	Hypothetical protein		
Function unknown	VOG07171	Hypothetical protein		
Function unknown	VOG07172	Hypothetical protein		
Function unknown	VOG07173	Hypothetical protein		
Function unknown	VOG07174	Hypothetical protein		
Function unknown	VOG07175	Hypothetical protein		
Function unknown	VOG07176	Hypothetical protein		
Function unknown	VOG07177	DNA ligase		
Function unknown	VOG07178	Head protein		
Function unknown	VOG07179	Hypothetical protein		
Function unknown	VOG07180	Hypothetical protein		
Function unknown	VOG07181	Hypothetical protein		
Function unknown	VOG07182	Hypothetical protein		
Function unknown	VOG07183	Hypothetical protein		
Function unknown	VOG07184	Uncharacterized protein ORF220		Y220_ATV
Function unknown	VOG07185	Uncharacterized protein A-100		A100_SSV1
Function unknown	VOG07186	Hypothetical protein		
Function unknown	VOG07187	Hypothetical protein		
Function unknown	VOG07188	Hypothetical protein		
Function unknown	VOG07189	Hypothetical protein		
Function unknown	VOG07190	Putative protein 580		
Function unknown	VOG07191	Hypothetical protein		
Function unknown	VOG07192	Hypothetical protein		
Function unknown	VOG07193	Hypothetical protein		
Function unknown	VOG07194	Hypothetical protein		
Function unknown	VOG07195	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG07196	Minor spike protein H		H_BPPHM
Function unknown	VOG07197	Hypothetical protein		
Function unknown	VOG07198	Hypothetical protein		
Function unknown	VOG07199	Hypothetical protein		
Function unknown	VOG07200	Hypothetical protein		
Function unknown	VOG07201	Hypothetical protein		
Function unknown	VOG07202	Hypothetical protein		
Function unknown	VOG07203	Hypothetical protein		
Function unknown	VOG07204	Hypothetical protein		
Function unknown	VOG07205	Hypothetical protein		
Function unknown	VOG07206	Hypothetical protein		
Function unknown	VOG07207	Hypothetical protein		
Function unknown	VOG07208	Hypothetical protein		
Function unknown	VOG07209	Hypothetical protein		
Function unknown	VOG07210	Ig-like domain-containing protein		
Function unknown	VOG07211	Hypothetical protein		
Function unknown	VOG07212	Hypothetical protein		
Function unknown	VOG07213	Hypothetical protein		
Function unknown	VOG07214	Hypothetical protein		
Function unknown	VOG07215	Hypothetical protein		
Function unknown	VOG07216	Hypothetical protein		
Function unknown	VOG07217	Hypothetical protein		
Function unknown	VOG07218	Minor tail protein		
Function unknown	VOG07219	Hypothetical protein		
Function unknown	VOG07220	Hypothetical protein		
Function unknown	VOG07221	Hypothetical protein		
Function unknown	VOG07222	Hypothetical protein		
Function unknown	VOG07223	Hypothetical protein		
Function unknown	VOG07224	Hypothetical protein		
Function unknown	VOG07225	Hypothetical protein		
Function unknown	VOG07226	Hypothetical protein		
Function unknown	VOG07227	Hypothetical protein		
Function unknown	VOG07228	Hypothetical protein		
Function unknown	VOG07229	Hypothetical protein		
Function unknown	VOG07230	Hypothetical protein		
Function unknown	VOG07231	Hypothetical protein		
Function unknown	VOG07232	Acetyltransferase		
Function unknown	VOG07233	Chitosanase		
Function unknown	VOG07234	Hypothetical protein		
Function unknown	VOG07235	Hypothetical protein		
Function unknown	VOG07236	Hypothetical protein		
Function unknown	VOG07237	DNA pilot protein VP2		
Function unknown	VOG07238	Hypothetical protein		
Function unknown	VOG07239	Hypothetical protein		
Function unknown	VOG07240	Hypothetical protein		
Function unknown	VOG07241	Hypothetical protein		
Function unknown	VOG07242	Hypothetical protein		
Function unknown	VOG07243	Hypothetical protein		
Function unknown	VOG07244	Virion structural protein		
Function unknown	VOG07245	Tail spike protein		
Function unknown	VOG07246	Host attachment protein P3b		
Function unknown	VOG07247	Hypothetical protein		
Function unknown	VOG07248	Hypothetical protein		
Function unknown	VOG07249	Hypothetical protein		
Function unknown	VOG07250	Hypothetical protein		
Function unknown	VOG07251	Tail protein		
Function unknown	VOG07252	Hypothetical protein		
Function unknown	VOG07253	Hypothetical protein		
Function unknown	VOG07254	Hypothetical protein		
Function unknown	VOG07255	Hypothetical protein		
Function unknown	VOG07256	Hypothetical protein		
Function unknown	VOG07257	Appendage		
Function unknown	VOG07258	Hypothetical protein		
Function unknown	VOG07259	Hypothetical protein		
Function unknown	VOG07260	Hypothetical protein		
Function unknown	VOG07261	Hypothetical protein		
Function unknown	VOG07262	Hypothetical protein		
Function unknown	VOG07263	Uncharacterized protein A-92		A92_SSV1
Function unknown	VOG07264	Hypothetical protein		
Function unknown	VOG07265	Hypothetical protein		
Function unknown	VOG07266	Hypothetical protein		
Function unknown	VOG07267	Protein B		
Function unknown	VOG07268	Hypothetical protein		
Function unknown	VOG07269	Hypothetical protein		
Function unknown	VOG07270	Hypothetical protein		
Function unknown	VOG07271	Hypothetical protein		
Function unknown	VOG07272	Hypothetical protein		
Function unknown	VOG07273	Hypothetical protein		
Function unknown	VOG07274	Hypothetical protein		
Function unknown	VOG07275	Uncharacterized protein ORF121		Y121_AFV2P
Function unknown	VOG07276	Hypothetical protein		
Function unknown	VOG07277	Terminase small subunit		
Function unknown	VOG07278	Hypothetical protein		
Function unknown	VOG07279	Hypothetical protein		
Function unknown	VOG07280	Hypothetical protein		
Function unknown	VOG07281	Hypothetical protein		
Function unknown	VOG07282	Hypothetical protein		
Function unknown	VOG07283	Hypothetical protein		
Function unknown	VOG07284	Hypothetical protein		
Function unknown	VOG07285	Hypothetical protein		
Function unknown	VOG07286	Hypothetical protein		
Function unknown	VOG07287	Hypothetical protein		
