L1	KO	Function	EC
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG05243	sp|P06791|VE4_HPV18 Protein E4	
Function unknown	VOG05244	REFSEQ tail length tape measure protein	
Function unknown	VOG05245	sp|Q9KSW4|CSPD_VIBCH Cold shock-like protein CspD	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05246	sp|Q91ID8|VP4_LDCPR Outer capsid protein VP4	
Virus protein with function beneficial for the virus | Virus structure	VOG05247	sp|J7HBH4|GLYC_GOGV Glycoprotein	
Function unknown	VOG05248	REFSEQ hypothetical protein	
Function unknown	VOG05249	REFSEQ hypothetical protein	
Function unknown	VOG05250	REFSEQ hypothetical protein	
Function unknown	VOG05251	sp|Q196V3|VF117_IIV3 Uncharacterized protein 107R	
Function unknown	VOG05252	REFSEQ hypothetical protein	
Function unknown	VOG05253	REFSEQ hypothetical protein	
Function unknown	VOG05254	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05255	sp|P52638|VGLG_BDVV Envelope glycoprotein p57	
Function unknown	VOG05256	REFSEQ hypothetical protein	
Virus structure	VOG05257	sp|Q5UQT3|YR347_MIMIV Uncharacterized protein R347	
Function unknown	VOG05258	REFSEQ hypothetical protein	
Function unknown	VOG05259	REFSEQ hypothetical protein	
Function unknown	VOG05260	REFSEQ hypothetical protein	
Function unknown	VOG05261	REFSEQ hypothetical protein	
Function unknown	VOG05262	REFSEQ hypothetical protein	
Function unknown	VOG05263	sp|Q5UR55|YL581_MIMIV Uncharacterized protein L581	
Function unknown	VOG05264	REFSEQ TreB	
Virus protein with function beneficial for the host	VOG05265	sp|O57429|UBP2_CHICK Ubiquitin carboxyl-terminal hydrolase 2	
Function unknown	VOG05266	sp|O10316|Y059_NPVOP Uncharacterized 19.9 kDa protein	
Function unknown	VOG05267	REFSEQ hypothetical protein	
Function unknown	VOG05268	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05269	sp|O36453|IE0_NPVLD Immediate-early protein IE-0	
Virus protein with function beneficial for the host	VOG05270	sp|Q9V576|WUN_DROME Putative phosphatidate phosphatase	
Function unknown	VOG05271	sp|P41470|Y070_NPVAC Uncharacterized 34.4 kDa protein in LEF3-IAP2 intergenic region	
Function unknown	VOG05272	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG05273	sp|Q91ID5|VP5_LDCPR Putative structural protein VP5	
Function unknown	VOG05274	REFSEQ hypothetical protein	
Function unknown	VOG05275	REFSEQ hypothetical protein 1	
Function unknown	VOG05276	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG05277	sp|P54094|VP3_CAVCI Apoptin	
Function unknown	VOG05278	REFSEQ hypothetical protein 1	
Function unknown	VOG05279	sp|Q197A2|VF391_IIV3 Uncharacterized protein 058R	
Function unknown	VOG05280	REFSEQ protein EE5	
Function unknown	VOG05281	REFSEQ hypothetical protein	
Function unknown	VOG05282	REFSEQ hypothetical protein	
Function unknown	VOG05283	sp|P24434|VU54_HHV6U Protein U54	
Virus structure	VOG05284	sp|Q5UR35|YR553_MIMIV Uncharacterized protein R553	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05285	sp|P17766|POLG_PPVNA Genome polyprotein	
Virus protein with function beneficial for the host	VOG05286	sp|Q6LZC4|WECB_METMP UDP-N-acetylglucosamine 2-epimerase	
Function unknown	VOG05287	sp|Q6GZN8|087L_FRG3G Uncharacterized protein 087L	
Function unknown	VOG05288	sp|Q5UQJ4|YR861_MIMIV Uncharacterized protein R861	
Function unknown	VOG05289	REFSEQ hypothetical protein	
Function unknown	VOG05290	sp|P41465|LEF9_NPVAC DNA-directed RNA polymerase subunit LEF-9	
Function unknown	VOG05291	REFSEQ ORF29	
Function unknown	VOG05292	REFSEQ hypothetical protein	
Virus structure	VOG05293	sp|Q5UR09|YR648_MIMIV Uncharacterized protein R648	
Function unknown	VOG05294	REFSEQ e164	
Virus protein with function beneficial for the virus	VOG05295	sp|F5HF44|UL145_HCMVM Protein UL145	
Virus protein with function beneficial for the virus	VOG05296	sp|P0DOF0|X_BDVV X protein	
Function unknown	VOG05297	REFSEQ hypothetical protein	
Function unknown	VOG05298	REFSEQ hypothetical protein	
Function unknown	VOG05299	REFSEQ hypothetical protein	
Function unknown	VOG05300	REFSEQ hypothetical protein	
Function unknown	VOG05301	REFSEQ hypothetical protein	
Function unknown	VOG05302	REFSEQ hypothetical protein	
Function unknown	VOG05303	REFSEQ Ring domain containing protein	
Virus structure	VOG05304	sp|B3VML3|CAPSD_OUMVV Capsid protein	
Function unknown	VOG05305	REFSEQ MORN-repeat protein	
Function unknown	VOG05306	sp|P13305|Y05Q_BPT4 Uncharacterized 8.3 kDa protein in ri-tk intergenic region	
Function unknown	VOG05307	sp|Q197A6|054L_IIV3 Uncharacterized protein 054L	
Function unknown	VOG05308	REFSEQ hypothetical protein	
Function unknown	VOG05309	sp|P41708|AC152_NPVAC Protein AC152	
Function unknown	VOG05310	REFSEQ hypothetical protein	
Function unknown	VOG05311	REFSEQ hypothetical protein	
Virus structure	VOG05312	sp|B4YNG0|CAPSD_SPTNK Putative capsid protein V20	
Function unknown	VOG05313	sp|Q6GZQ9|066L_FRG3G Uncharacterized protein 066L	
Function unknown	VOG05314	REFSEQ ORF26	
Function unknown	VOG05315	REFSEQ putative DNA N6-adenine methyltransferase	
Function unknown	VOG05316	sp|Q5UPL4|YR133_MIMIV Uncharacterized protein R133	
Function unknown	VOG05317	sp|Q05245|VG35_BPML5 Gene 35 protein	
Function unknown	VOG05318	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05319	sp|P28663|SNAB_MOUSE Beta-soluble NSF attachment protein	
Function unknown	VOG05320	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05321	sp|F5HET1|UL78_HCMVM Protein UL78	
Function unknown	VOG05322	REFSEQ unknown similar to AMEV126	
Function unknown	VOG05323	REFSEQ GrBNV gp81-like protein	
Function unknown	VOG05324	REFSEQ Ubiquitin	
Function unknown	VOG05325	REFSEQ tail assembly chaperone	
Function unknown	VOG05326	sp|P09710|IR01_HCMVA Uncharacterized protein HKLF1	
Function unknown	VOG05327	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG05328	sp|P38629|RFC3_YEAST Replication factor C subunit 3	
Function unknown	VOG05329	REFSEQ protein EE12	
Function unknown	VOG05330	REFSEQ hypothetical protein	
Virus replication | Virus structure	VOG05331	sp|P09514|MCAPS_TYYVF Readthrough protein P3-RTD	
Function unknown	VOG05332	sp|Q5UP68|YR608_MIMIV Uncharacterized protein R608	
Function unknown	VOG05333	REFSEQ hypothetical protein	
Function unknown	VOG05334	REFSEQ capsid protein C	
Function unknown	VOG05335	REFSEQ unknown similar to AMEV040	
Function unknown	VOG05336	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05337	sp|Q641J8|RF12A_XENLA E3 ubiquitin-protein ligase RNF12-A	
Function unknown	VOG05338	REFSEQ hypothetical protein	
Virus structure	VOG05339	sp|Q06693|AC78_NPVAC Protein AC78	
Function unknown	VOG05340	REFSEQ tail fiber protein	
Function unknown	VOG05341	REFSEQ hypothetical protein	
Function unknown	VOG05342	REFSEQ hypothetical protein	
Function unknown	VOG05343	REFSEQ unknown similar to AMEV237	
Function unknown	VOG05344	REFSEQ hypothetical protein	
Virus structure	VOG05345	sp|Q5UQ56|YR710_MIMIV Uncharacterized protein R710	
Virus protein with function beneficial for the host	VOG05346	sp|P07108|ACBP_HUMAN Acyl-CoA-binding protein	
Function unknown	VOG05347	sp|Q5UP33|YR827_MIMIV Uncharacterized protein R827	
Function unknown	VOG05348	REFSEQ hypothetical protein	
Function unknown	VOG05349	REFSEQ hypothetical protein	
Function unknown	VOG05350	REFSEQ hypothetical protein	
Function unknown	VOG05351	REFSEQ unknown similar to AMEVITR12	
Function unknown	VOG05352	REFSEQ putative capsid protein	
Function unknown	VOG05353	REFSEQ pr160	
Function unknown	VOG05354	REFSEQ eukaryotic translation initiation factor 4G	
Function unknown	VOG05355	REFSEQ hypothetical protein	
Function unknown	VOG05356	REFSEQ virion structural protein	
Function unknown	VOG05357	REFSEQ hypothetical protein	
Function unknown	VOG05358	sp|Q5UQC7|YL462_MIMIV Uncharacterized protein L462	
Function unknown	VOG05359	REFSEQ hypothetical protein	
Function unknown	VOG05360	sp|Q5UP02|YL750_MIMIV Uncharacterized protein L750	
Function unknown	VOG05361	REFSEQ hypothetical protein	
Function unknown	VOG05362	sp|Q5UPE7|YL068_MIMIV Uncharacterized protein L68	
Function unknown	VOG05363	REFSEQ hypothetical protein	
Function unknown	VOG05364	REFSEQ hypothetical protein	
Function unknown	VOG05365	REFSEQ hypothetical protein	
Function unknown	VOG05366	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05367	sp|P17356|PG024_VACCW OPG024 protein	
Function unknown	VOG05368	REFSEQ hypothetical protein	
Function unknown	VOG05369	sp|A4ZUA7|Y053B_ABVP Uncharacterized protein ORF53b	
Function unknown	VOG05370	REFSEQ hypothetical protein	
Function unknown	VOG05371	REFSEQ hypothetical protein	
Function unknown	VOG05372	REFSEQ Chitinase	
Function unknown	VOG05373	sp|O10317|Y060_NPVOP Uncharacterized 10.2 kDa protein	
Function unknown	VOG05374	REFSEQ hypothetical protein	
Function unknown	VOG05375	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05376	sp|P23064|ENV_HTL1M Envelope glycoprotein gp62	
Function unknown	VOG05377	sp|Q5UPA8|YR029_MIMIV Uncharacterized protein R29	
Function unknown	VOG05378	REFSEQ hypothetical protein	
Function unknown	VOG05379	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG05380	sp|P30025|US9_CHV1 Envelope protein US9 homolog	
Function unknown	VOG05381	REFSEQ ORF3	
Function unknown	VOG05382	sp|Q91FV2|VF219_IIV6 Uncharacterized protein 219L	
Function unknown	VOG05383	REFSEQ hypothetical protein	
Function unknown	VOG05384	REFSEQ hypothetical protein	
Function unknown	VOG05385	sp|A4ZUC6|Y054_ABVP Uncharacterized protein ORF54	
Function unknown	VOG05386	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05387	sp|P04310|RP18_VACCW DNA-directed RNA polymerase 18 kDa subunit	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05388	sp|Q7T6D2|POLG_OHFV Genome polyprotein	
Function unknown	VOG05389	sp|A4ZUB2|Y170_ABVP Uncharacterized protein ORF170	
Function unknown	VOG05390	REFSEQ hypothetical protein	
Function unknown	VOG05391	REFSEQ hypothetical protein	
Function unknown	VOG05392	REFSEQ hypothetical protein	
Function unknown	VOG05393	REFSEQ hypothetical protein	
Function unknown	VOG05394	REFSEQ hypothetical protein	
Function unknown	VOG05395	REFSEQ translation initiation factor 1A / IF-1	
Function unknown	VOG05396	REFSEQ hypothetical protein	
Function unknown	VOG05397	REFSEQ hypothetical protein	
Function unknown	VOG05398	REFSEQ hypothetical protein	
Function unknown	VOG05399	sp|Q197B1|049R_IIV3 Uncharacterized protein 049R	
Function unknown	VOG05400	REFSEQ hypothetical protein	
Function unknown	VOG05401	REFSEQ hypothetical protein	
Function unknown	VOG05402	REFSEQ E4	
Virus protein with function beneficial for the host	VOG05403	sp|Q5UNT9|YL677_MIMIV Putative ankyrin repeat protein L677	
Function unknown	VOG05404	REFSEQ Chlorovirus glycoprotein repeat domain-containing protein	
Function unknown	VOG05405	REFSEQ COG4956 domain containing protein	
Virus protein with function beneficial for the host | Virus structure	VOG05406	sp|P68493|PG085_VACCT Metalloendopeptidase OPG085	
Function unknown	VOG05407	REFSEQ hypothetical protein	
Function unknown	VOG05408	REFSEQ hypothetical protein	
Function unknown	VOG05409	sp|P41430|Y025_NPVAC Uncharacterized 36.6 kDa protein in EGT-IAP1 intergenic region	
Function unknown	VOG05410	sp|Q5UPP9|YR758_MIMIV Uncharacterized protein R758	
Function unknown	VOG05411	REFSEQ Cyanophycin synthetase incomplete domain containing protein	
Virus structure	VOG05412	sp|Q5UQZ3|YL899_MIMIV Uncharacterized protein L899	
Function unknown	VOG05413	REFSEQ chromatin organization modifier chromo domain protein	
Function unknown	VOG05414	REFSEQ hypothetical protein	
Function unknown	VOG05415	REFSEQ hypothetical protein	
Function unknown	VOG05416	REFSEQ Putative structural protein	
Function unknown	VOG05417	REFSEQ hypothetical protein	
Function unknown	VOG05418	REFSEQ hypothetical protein	
Function unknown	VOG05419	REFSEQ hypothetical protein	
Function unknown	VOG05420	REFSEQ glycosyltransferase	
Function unknown	VOG05421	sp|P41675|Y122_NPVAC Uncharacterized 7.2 kDa protein in HE65-PK2 intergenic region	
Function unknown	VOG05422	REFSEQ hypothetical protein	
Function unknown	VOG05423	REFSEQ hypothetical protein	
Function unknown	VOG05424	REFSEQ hypothetical protein	
Function unknown	VOG05425	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG05426	sp|Q9VBC7|NEC2_DROME Neuroendocrine convertase 2	
Function unknown	VOG05427	REFSEQ nsp11	
Function unknown	VOG05428	REFSEQ phosphoprotein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05429	sp|O39927|POLG_HCVEU Genome polyprotein	
Virus protein with function beneficial for the host	VOG05430	sp|O81884|GALDH_ARATH L-galactose dehydrogenase	
Function unknown	VOG05431	sp|A8MXY4|ZNF99_HUMAN Zinc finger protein 99	
Function unknown	VOG05432	REFSEQ hypothetical protein	
Virus structure	VOG05433	sp|P09511|MVP_TYYVF Movement protein	
Function unknown	VOG05434	REFSEQ putative exostosin family protein	
Function unknown	VOG05435	REFSEQ hypothetical protein	
Function unknown	VOG05436	sp|Q5UPK8|YL127_MIMIV Putative F-box protein L127	
Virus protein with function beneficial for the host	VOG05437	sp|P06792|VE5_HPV18 Probable protein E5	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG05438	sp|P89216|NCAP_THOGV Nucleoprotein	
Function unknown	VOG05439	REFSEQ p16	
Function unknown	VOG05440	REFSEQ hypothetical protein	
Function unknown	VOG05441	sp|Q5UNZ6|YL742_MIMIV Putative BTB/POZ domain-containing protein L742	
Function unknown	VOG05442	REFSEQ E9	
Function unknown	VOG05443	sp|Q9QJ14|U91_HHV6Z Protein U91	
Function unknown	VOG05444	REFSEQ Member of MGP family m145	
Function unknown	VOG05445	REFSEQ hypothetical protein	
Function unknown	VOG05446	REFSEQ hypothetical protein	
Function unknown	VOG05447	sp|Q196Z7|VF309_IIV3 Uncharacterized protein 063R	
Function unknown	VOG05448	REFSEQ HNH endonuclease	
Function unknown	VOG05449	sp|P28983|VG59_EHV1B Uncharacterized gene 59 protein	
Function unknown	VOG05450	sp|Q5URA5|YL143_MIMIV Uncharacterized protein L143	
Function unknown	VOG05451	REFSEQ hypothetical protein	
Function unknown	VOG05452	REFSEQ BTB/POZ domain containing protein	
Function unknown	VOG05453	REFSEQ hypothetical protein	
Function unknown	VOG05454	REFSEQ hypothetical protein	
Function unknown	VOG05455	REFSEQ hypothetical protein	
Function unknown	VOG05456	REFSEQ hypothetical protein	
Function unknown	VOG05457	sp|P19898|VP10_RBSDV Protein S10	
Function unknown	VOG05458	REFSEQ hypothetical protein	
Function unknown	VOG05459	REFSEQ hypothetical protein	
Function unknown	VOG05460	sp|Q914G7|Y065_SIFVH Uncharacterized protein 65	
Function unknown	VOG05461	REFSEQ ubiquitin-conjugating enzyme E2	
Virus protein with function beneficial for the host | Virus structure	VOG05462	sp|P26015|VP6_ROTGA Intermediate capsid protein VP6	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05463	sp|O09705|L_LASSJ RNA-directed RNA polymerase L	
Function unknown	VOG05464	REFSEQ pX	
Function unknown	VOG05465	REFSEQ collagen-like protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG05466	sp|P0DOT8|PG095_VARV Entry-fusion complex associated protein OPG095	
Function unknown	VOG05467	REFSEQ hypothetical protein	
Function unknown	VOG05468	sp|Q6GZN6|089R_FRG3G Uncharacterized protein 89R	
Function unknown	VOG05469	sp|Q5UR78|TM189_MIMIV Probable fatty acid desaturase MIMI_L630	
Function unknown	VOG05470	REFSEQ hypothetical protein 1	
Function unknown	VOG05471	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG05472	sp|F5HID2|PAP_HHV8P DNA polymerase processivity factor	
Function unknown	VOG05473	sp|P52529|U79_HHV6U Protein U79/U80	
