L1	ID	Function	EC
unknown function	phrog_56698	NA	
unknown function	phrog_56699	NA	
unknown function	phrog_56700	NA	
unknown function	phrog_56701	NA	
unknown function	phrog_56702	NA	
unknown function	phrog_56703	NA	
unknown function	phrog_56704	NA	
unknown function	phrog_56705	NA	
unknown function	phrog_56706	NA	
unknown function	phrog_56707	NA	
unknown function	phrog_56708	NA	
unknown function	phrog_56709	NA	
unknown function	phrog_56710	NA	
unknown function	phrog_56711	NA	
unknown function	phrog_56712	NA	
unknown function	phrog_56713	NA	
unknown function	phrog_56714	NA	
unknown function	phrog_56715	NA	
unknown function	phrog_56716	NA	
unknown function	phrog_56717	NA	
unknown function	phrog_56718	NA	
unknown function	phrog_56719	NA	
unknown function	phrog_56720	NA	
unknown function	phrog_56721	NA	
unknown function	phrog_56722	NA	
unknown function	phrog_56723	NA	
unknown function	phrog_56724	NA	
unknown function	phrog_56725	NA	
unknown function	phrog_56726	NA	
unknown function	phrog_56727	NA	
unknown function	phrog_56728	NA	
unknown function	phrog_56729	NA	
unknown function	phrog_56730	NA	
unknown function	phrog_56731	NA	
unknown function	phrog_56732	NA	
unknown function	phrog_56733	NA	
unknown function	phrog_56734	NA	
unknown function	phrog_56735	NA	
unknown function	phrog_56736	NA	
unknown function	phrog_56737	NA	
unknown function	phrog_56738	NA	
unknown function	phrog_56739	NA	
unknown function	phrog_56740	NA	
unknown function	phrog_56741	NA	
unknown function	phrog_56742	NA	
unknown function	phrog_56743	NA	
unknown function	phrog_56744	NA	
unknown function	phrog_56745	NA	
unknown function	phrog_56746	NA	
unknown function	phrog_56747	NA	
unknown function	phrog_56748	NA	
unknown function	phrog_56749	NA	
unknown function	phrog_56750	NA	
unknown function	phrog_56751	NA	
unknown function	phrog_56752	NA	
unknown function	phrog_56753	NA	
unknown function	phrog_56754	NA	
unknown function	phrog_56755	NA	
unknown function	phrog_56756	NA	
unknown function	phrog_56757	NA	
unknown function	phrog_56758	NA	
unknown function	phrog_56759	NA	
unknown function	phrog_56760	NA	
unknown function	phrog_56761	NA	
unknown function	phrog_56762	NA	
unknown function	phrog_56763	NA	
unknown function	phrog_56764	NA	
unknown function	phrog_56765	NA	
unknown function	phrog_56766	NA	
unknown function	phrog_56767	NA	
unknown function	phrog_56768	NA	
unknown function	phrog_56769	NA	
unknown function	phrog_56770	NA	
unknown function	phrog_56771	NA	
unknown function	phrog_56772	NA	
unknown function	phrog_56773	NA	
unknown function	phrog_56774	NA	
unknown function	phrog_56775	NA	
unknown function	phrog_56776	NA	
unknown function	phrog_56777	NA	
unknown function	phrog_56778	NA	
unknown function	phrog_56779	NA	
unknown function	phrog_56780	NA	
unknown function	phrog_56781	NA	
unknown function	phrog_56782	NA	
unknown function	phrog_56783	NA	
unknown function	phrog_56784	NA	
unknown function	phrog_56785	NA	
unknown function	phrog_56786	NA	
unknown function	phrog_56787	NA	
unknown function	phrog_56788	NA	
unknown function	phrog_56789	NA	
unknown function	phrog_56790	NA	
unknown function	phrog_56791	NA	
unknown function	phrog_56792	NA	
unknown function	phrog_56793	NA	
unknown function	phrog_56794	NA	
unknown function	phrog_56795	NA	
unknown function	phrog_56796	NA	
unknown function	phrog_56797	NA	
unknown function	phrog_56798	NA	
unknown function	phrog_56799	NA	
unknown function	phrog_56800	NA	
unknown function	phrog_56801	NA	
unknown function	phrog_56802	NA	
unknown function	phrog_56803	NA	
unknown function	phrog_56804	NA	
unknown function	phrog_56805	NA	
unknown function	phrog_56806	NA	
unknown function	phrog_56807	NA	
unknown function	phrog_56808	NA	
unknown function	phrog_56809	NA	
unknown function	phrog_56810	NA	
unknown function	phrog_56811	NA	
unknown function	phrog_56812	NA	
unknown function	phrog_56813	NA	
unknown function	phrog_56814	NA	
unknown function	phrog_56815	NA	
unknown function	phrog_56816	NA	
unknown function	phrog_56817	NA	
unknown function	phrog_56818	NA	
unknown function	phrog_56819	NA	
unknown function	phrog_56820	NA	
unknown function	phrog_56821	NA	
unknown function	phrog_56822	NA	
unknown function	phrog_56823	NA	
unknown function	phrog_56824	NA	
unknown function	phrog_56825	NA	
unknown function	phrog_56826	NA	
unknown function	phrog_56827	NA	
unknown function	phrog_56828	NA	
unknown function	phrog_56829	NA	
unknown function	phrog_56830	NA	
unknown function	phrog_56831	NA	
unknown function	phrog_56832	NA	
unknown function	phrog_56833	NA	
unknown function	phrog_56834	NA	
unknown function	phrog_56835	NA	
unknown function	phrog_56836	NA	
unknown function	phrog_56837	NA	
unknown function	phrog_56838	NA	
unknown function	phrog_56839	NA	
unknown function	phrog_56840	NA	
unknown function	phrog_56841	NA	
unknown function	phrog_56842	NA	
unknown function	phrog_56843	NA	
unknown function	phrog_56844	NA	
unknown function	phrog_56845	NA	
unknown function	phrog_56846	NA	
unknown function	phrog_56847	NA	
unknown function	phrog_56848	NA	
unknown function	phrog_56849	NA	
unknown function	phrog_56850	NA	
unknown function	phrog_56851	NA	
unknown function	phrog_56852	NA	
unknown function	phrog_56853	NA	
unknown function	phrog_56854	NA	
unknown function	phrog_56855	NA	
unknown function	phrog_56856	NA	
unknown function	phrog_56857	NA	
unknown function	phrog_56858	NA	
unknown function	phrog_56859	NA	
unknown function	phrog_56860	NA	
unknown function	phrog_56861	NA	
unknown function	phrog_56862	NA	
unknown function	phrog_56863	NA	
unknown function	phrog_56864	NA	
unknown function	phrog_56865	NA	
unknown function	phrog_56866	NA	
unknown function	phrog_56867	NA	
unknown function	phrog_56868	NA	
unknown function	phrog_56869	NA	
unknown function	phrog_56870	NA	
unknown function	phrog_56871	NA	
unknown function	phrog_56872	NA	
unknown function	phrog_56873	NA	
unknown function	phrog_56874	NA	
unknown function	phrog_56875	NA	
unknown function	phrog_56876	NA	
unknown function	phrog_56877	NA	
unknown function	phrog_56878	NA	
unknown function	phrog_56879	NA	
unknown function	phrog_56880	NA	
unknown function	phrog_56881	NA	
unknown function	phrog_56882	NA	
unknown function	phrog_56883	NA	
unknown function	phrog_56884	NA	
unknown function	phrog_56885	NA	
unknown function	phrog_56886	NA	
unknown function	phrog_56887	NA	
unknown function	phrog_56888	NA	
unknown function	phrog_56889	NA	
unknown function	phrog_56890	NA	
unknown function	phrog_56891	NA	
unknown function	phrog_56892	NA	
unknown function	phrog_56893	NA	
unknown function	phrog_56894	NA	
unknown function	phrog_56895	NA	
unknown function	phrog_56896	NA	
unknown function	phrog_56897	NA	
unknown function	phrog_56898	NA	
unknown function	phrog_56899	NA	
unknown function	phrog_56900	NA	
unknown function	phrog_56901	NA	
unknown function	phrog_56902	NA	
unknown function	phrog_56903	NA	
unknown function	phrog_56904	NA	
unknown function	phrog_56905	NA	
unknown function	phrog_56906	NA	
unknown function	phrog_56907	NA	
unknown function	phrog_56908	NA	
unknown function	phrog_56909	NA	
unknown function	phrog_56910	NA	
unknown function	phrog_56911	NA	
unknown function	phrog_56912	NA	
unknown function	phrog_56913	NA	
unknown function	phrog_56914	NA	
unknown function	phrog_56915	NA	
unknown function	phrog_56916	NA	
unknown function	phrog_56917	NA	
unknown function	phrog_56918	NA	
unknown function	phrog_56919	NA	
unknown function	phrog_56920	NA	
unknown function	phrog_56921	NA	
unknown function	phrog_56922	NA	
unknown function	phrog_56923	NA	
unknown function	phrog_56924	NA	
unknown function	phrog_56925	NA	
unknown function	phrog_56926	NA	
unknown function	phrog_56927	NA	
unknown function	phrog_56928	NA	
unknown function	phrog_56929	NA	
unknown function	phrog_56930	NA	
unknown function	phrog_56931	NA	
unknown function	phrog_56932	NA	
unknown function	phrog_56933	NA	
unknown function	phrog_56934	NA	
unknown function	phrog_56935	NA	
unknown function	phrog_56936	NA	
unknown function	phrog_56937	NA	
unknown function	phrog_56938	NA	
unknown function	phrog_56939	NA	
unknown function	phrog_56940	NA	
unknown function	phrog_56941	NA	
unknown function	phrog_56942	NA	
unknown function	phrog_56943	NA	
unknown function	phrog_56944	NA	
unknown function	phrog_56945	NA	
unknown function	phrog_56946	NA	
unknown function	phrog_56947	NA	
unknown function	phrog_56948	NA	
unknown function	phrog_56949	NA	
unknown function	phrog_56950	NA	
unknown function	phrog_56951	NA	
unknown function	phrog_56952	NA	
unknown function	phrog_56953	NA	
unknown function	phrog_56954	NA	
unknown function	phrog_56955	NA	
unknown function	phrog_56956	NA	
unknown function	phrog_56957	NA	
unknown function	phrog_56958	NA	
unknown function	phrog_56959	NA	
unknown function	phrog_56960	NA	
unknown function	phrog_56961	NA	
unknown function	phrog_56962	NA	
unknown function	phrog_56963	NA	
unknown function	phrog_56964	NA	
unknown function	phrog_56965	NA	
unknown function	phrog_56966	NA	
unknown function	phrog_56967	NA	
unknown function	phrog_56968	NA	
unknown function	phrog_56969	NA	
unknown function	phrog_56970	NA	
unknown function	phrog_56971	NA	
unknown function	phrog_56972	NA	
unknown function	phrog_56973	NA	
unknown function	phrog_56974	NA	
unknown function	phrog_56975	NA	
unknown function	phrog_56976	NA	
unknown function	phrog_56977	NA	
unknown function	phrog_56978	NA	
unknown function	phrog_56979	NA	
unknown function	phrog_56980	NA	
unknown function	phrog_56981	NA	
unknown function	phrog_56982	NA	
unknown function	phrog_56983	NA	
unknown function	phrog_56984	NA	
unknown function	phrog_56985	NA	
unknown function	phrog_56986	NA	
unknown function	phrog_56987	NA	
unknown function	phrog_56988	NA	
unknown function	phrog_56989	NA	
unknown function	phrog_56990	NA	
unknown function	phrog_56991	NA	
unknown function	phrog_56992	NA	
unknown function	phrog_56993	NA	
unknown function	phrog_56994	NA	
unknown function	phrog_56995	NA	
unknown function	phrog_56996	NA	
unknown function	phrog_56997	NA	
unknown function	phrog_56998	NA	
unknown function	phrog_56999	NA	
unknown function	phrog_57000	NA	
unknown function	phrog_57001	NA	
unknown function	phrog_57002	NA	
unknown function	phrog_57003	NA	
unknown function	phrog_57004	NA	
unknown function	phrog_57005	NA	
unknown function	phrog_57006	NA	
unknown function	phrog_57007	NA	
unknown function	phrog_57008	NA	
unknown function	phrog_57009	NA	
unknown function	phrog_57010	NA	
unknown function	phrog_57011	NA	
unknown function	phrog_57012	NA	
unknown function	phrog_57013	NA	
unknown function	phrog_57014	NA	
unknown function	phrog_57015	NA	
unknown function	phrog_57016	NA	
unknown function	phrog_57017	NA	
unknown function	phrog_57018	NA	
unknown function	phrog_57019	NA	
unknown function	phrog_57020	NA	
unknown function	phrog_57021	NA	
unknown function	phrog_57022	NA	
unknown function	phrog_57023	NA	
unknown function	phrog_57024	NA	
unknown function	phrog_57025	NA	
unknown function	phrog_57026	NA	
unknown function	phrog_57027	NA	
unknown function	phrog_57028	NA	
unknown function	phrog_57029	NA	
unknown function	phrog_57030	NA	
unknown function	phrog_57031	NA	
unknown function	phrog_57032	NA	
unknown function	phrog_57033	NA	
unknown function	phrog_57034	NA	
unknown function	phrog_57035	NA	
unknown function	phrog_57036	NA	
unknown function	phrog_57037	NA	
unknown function	phrog_57038	NA	
unknown function	phrog_57039	NA	
unknown function	phrog_57040	NA	
unknown function	phrog_57041	NA	
unknown function	phrog_57042	NA	
unknown function	phrog_57043	NA	
unknown function	phrog_57044	NA	
unknown function	phrog_57045	NA	
unknown function	phrog_57046	NA	
unknown function	phrog_57047	NA	
unknown function	phrog_57048	NA	
unknown function	phrog_57049	NA	
unknown function	phrog_57050	NA	
unknown function	phrog_57051	NA	
unknown function	phrog_57052	NA	
unknown function	phrog_57053	NA	
unknown function	phrog_57054	NA	
unknown function	phrog_57055	NA	
unknown function	phrog_57056	NA	
unknown function	phrog_57057	NA	
unknown function	phrog_57058	NA	
unknown function	phrog_57059	NA	
unknown function	phrog_57060	NA	
unknown function	phrog_57061	NA	
unknown function	phrog_57062	NA	
unknown function	phrog_57063	NA	
unknown function	phrog_57064	NA	
unknown function	phrog_57065	NA	
unknown function	phrog_57066	NA	
unknown function	phrog_57067	NA	
unknown function	phrog_57068	NA	
unknown function	phrog_57069	NA	
unknown function	phrog_57070	NA	
unknown function	phrog_57071	NA	
unknown function	phrog_57072	NA	
unknown function	phrog_57073	NA	
unknown function	phrog_57074	NA	
unknown function	phrog_57075	NA	
unknown function	phrog_57076	NA	
unknown function	phrog_57077	NA	
unknown function	phrog_57078	NA	
unknown function	phrog_57079	NA	
unknown function	phrog_57080	NA	
unknown function	phrog_57081	NA	
unknown function	phrog_57082	NA	
unknown function	phrog_57083	NA	
unknown function	phrog_57084	NA	
unknown function	phrog_57085	NA	
unknown function	phrog_57086	NA	
unknown function	phrog_57087	NA	
unknown function	phrog_57088	NA	
unknown function	phrog_57089	NA	
unknown function	phrog_57090	NA	
unknown function	phrog_57091	NA	
unknown function	phrog_57092	NA	
unknown function	phrog_57093	NA	
unknown function	phrog_57094	NA	
unknown function	phrog_57095	NA	
unknown function	phrog_57096	NA	
unknown function	phrog_57097	NA	
unknown function	phrog_57098	NA	
unknown function	phrog_57099	NA	
unknown function	phrog_57100	NA	
unknown function	phrog_57101	NA	
unknown function	phrog_57102	NA	
unknown function	phrog_57103	NA	
unknown function	phrog_57104	NA	
unknown function	phrog_57105	NA	
unknown function	phrog_57106	NA	
unknown function	phrog_57107	NA	
unknown function	phrog_57108	NA	
unknown function	phrog_57109	NA	
unknown function	phrog_57110	NA	
unknown function	phrog_57111	NA	
unknown function	phrog_57112	NA	
unknown function	phrog_57113	NA	
unknown function	phrog_57114	NA	
unknown function	phrog_57115	NA	
unknown function	phrog_57116	NA	
unknown function	phrog_57117	NA	
unknown function	phrog_57118	NA	
unknown function	phrog_57119	NA	
unknown function	phrog_57120	NA	
unknown function	phrog_57121	NA	
unknown function	phrog_57122	NA	
unknown function	phrog_57123	NA	
unknown function	phrog_57124	NA	
unknown function	phrog_57125	NA	
unknown function	phrog_57126	NA	
unknown function	phrog_57127	NA	
unknown function	phrog_57128	NA	
unknown function	phrog_57129	NA	
unknown function	phrog_57130	NA	
unknown function	phrog_57131	NA	
unknown function	phrog_57132	NA	
unknown function	phrog_57133	NA	
unknown function	phrog_57134	NA	
unknown function	phrog_57135	NA	
unknown function	phrog_57136	NA	
unknown function	phrog_57137	NA	
unknown function	phrog_57138	NA	
unknown function	phrog_57139	NA	
unknown function	phrog_57140	NA	
unknown function	phrog_57141	NA	
unknown function	phrog_57142	NA	
unknown function	phrog_57143	NA	
unknown function	phrog_57144	NA	
unknown function	phrog_57145	NA	
unknown function	phrog_57146	NA	
unknown function	phrog_57147	NA	
unknown function	phrog_57148	NA	
unknown function	phrog_57149	NA	
unknown function	phrog_57150	NA	
unknown function	phrog_57151	NA	
unknown function	phrog_57152	NA	
unknown function	phrog_57153	NA	
unknown function	phrog_57154	NA	
unknown function	phrog_57155	NA	
unknown function	phrog_57156	NA	
unknown function	phrog_57157	NA	
unknown function	phrog_57158	NA	
unknown function	phrog_57159	NA	
unknown function	phrog_57160	NA	
unknown function	phrog_57161	NA	
unknown function	phrog_57162	NA	
unknown function	phrog_57163	NA	
unknown function	phrog_57164	NA	
unknown function	phrog_57165	NA	
unknown function	phrog_57166	NA	
unknown function	phrog_57167	NA	
unknown function	phrog_57168	NA	
unknown function	phrog_57169	NA	
unknown function	phrog_57170	NA	
unknown function	phrog_57171	NA	
unknown function	phrog_57172	NA	
unknown function	phrog_57173	NA	
unknown function	phrog_57174	NA	
unknown function	phrog_57175	NA	
unknown function	phrog_57176	NA	
unknown function	phrog_57177	NA	
unknown function	phrog_57178	NA	
unknown function	phrog_57179	NA	
unknown function	phrog_57180	NA	
unknown function	phrog_57181	NA	
unknown function	phrog_57182	NA	
unknown function	phrog_57183	NA	
unknown function	phrog_57184	NA	
unknown function	phrog_57185	NA	
unknown function	phrog_57186	NA	
unknown function	phrog_57187	NA	
